"file","query","rel","docno"
"./output/dir/train/short/10000.out","EA1","unjudged",3
"./output/dir/train/short/10000.out","EA1","yes",2
"./output/dir/train/short/10000.out","EA2","no",2
"./output/dir/train/short/10000.out","EA2","unjudged",3
"./output/dir/train/short/10000.out","EA3","unjudged",5
"./output/dir/train/short/10000.out","EA4","no",1
"./output/dir/train/short/10000.out","EA4","unjudged",2
"./output/dir/train/short/10000.out","EA4","yes",2
"./output/dir/train/short/10000.out","EA5","unjudged",3
"./output/dir/train/short/10000.out","EA5","yes",2
"./output/dir/train/short/10000.out","EA6","no",2
"./output/dir/train/short/10000.out","EA6","unjudged",2
"./output/dir/train/short/10000.out","EA6","yes",1
"./output/dir/train/short/1000.out","EA1","unjudged",2
"./output/dir/train/short/1000.out","EA1","yes",3
"./output/dir/train/short/1000.out","EA2","no",2
"./output/dir/train/short/1000.out","EA2","unjudged",3
"./output/dir/train/short/1000.out","EA3","unjudged",5
"./output/dir/train/short/1000.out","EA4","unjudged",2
"./output/dir/train/short/1000.out","EA4","yes",3
"./output/dir/train/short/1000.out","EA5","unjudged",2
"./output/dir/train/short/1000.out","EA5","yes",3
"./output/dir/train/short/1000.out","EA6","no",2
"./output/dir/train/short/1000.out","EA6","unjudged",2
"./output/dir/train/short/1000.out","EA6","yes",1
"./output/dir/train/short/2500.out","EA1","unjudged",2
"./output/dir/train/short/2500.out","EA1","yes",3
"./output/dir/train/short/2500.out","EA2","no",2
"./output/dir/train/short/2500.out","EA2","unjudged",3
"./output/dir/train/short/2500.out","EA3","unjudged",5
"./output/dir/train/short/2500.out","EA4","unjudged",2
"./output/dir/train/short/2500.out","EA4","yes",3
"./output/dir/train/short/2500.out","EA5","unjudged",2
"./output/dir/train/short/2500.out","EA5","yes",3
"./output/dir/train/short/2500.out","EA6","no",2
"./output/dir/train/short/2500.out","EA6","unjudged",2
"./output/dir/train/short/2500.out","EA6","yes",1
"./output/dir/train/short/250.out","EA1","unjudged",2
"./output/dir/train/short/250.out","EA1","yes",3
"./output/dir/train/short/250.out","EA2","no",2
"./output/dir/train/short/250.out","EA2","unjudged",3
"./output/dir/train/short/250.out","EA3","unjudged",5
"./output/dir/train/short/250.out","EA4","unjudged",3
"./output/dir/train/short/250.out","EA4","yes",2
"./output/dir/train/short/250.out","EA5","unjudged",1
"./output/dir/train/short/250.out","EA5","yes",4
"./output/dir/train/short/250.out","EA6","no",2
"./output/dir/train/short/250.out","EA6","unjudged",2
"./output/dir/train/short/250.out","EA6","yes",1
"./output/dir/train/short/5000.out","EA1","unjudged",3
"./output/dir/train/short/5000.out","EA1","yes",2
"./output/dir/train/short/5000.out","EA2","no",2
"./output/dir/train/short/5000.out","EA2","unjudged",3
"./output/dir/train/short/5000.out","EA3","unjudged",5
"./output/dir/train/short/5000.out","EA4","no",1
"./output/dir/train/short/5000.out","EA4","unjudged",2
"./output/dir/train/short/5000.out","EA4","yes",2
"./output/dir/train/short/5000.out","EA5","unjudged",2
"./output/dir/train/short/5000.out","EA5","yes",3
"./output/dir/train/short/5000.out","EA6","no",2
"./output/dir/train/short/5000.out","EA6","unjudged",2
"./output/dir/train/short/5000.out","EA6","yes",1
"./output/dir/train/short/500.out","EA1","unjudged",2
"./output/dir/train/short/500.out","EA1","yes",3
"./output/dir/train/short/500.out","EA2","no",2
"./output/dir/train/short/500.out","EA2","unjudged",3
"./output/dir/train/short/500.out","EA3","unjudged",5
"./output/dir/train/short/500.out","EA4","unjudged",2
"./output/dir/train/short/500.out","EA4","yes",3
"./output/dir/train/short/500.out","EA5","unjudged",2
"./output/dir/train/short/500.out","EA5","yes",3
"./output/dir/train/short/500.out","EA6","no",2
"./output/dir/train/short/500.out","EA6","unjudged",2
"./output/dir/train/short/500.out","EA6","yes",1
"./output/dir/train/short/50.out","EA1","unjudged",2
"./output/dir/train/short/50.out","EA1","yes",3
"./output/dir/train/short/50.out","EA2","unjudged",5
"./output/dir/train/short/50.out","EA3","unjudged",5
"./output/dir/train/short/50.out","EA4","unjudged",3
"./output/dir/train/short/50.out","EA4","yes",2
"./output/dir/train/short/50.out","EA5","unjudged",1
"./output/dir/train/short/50.out","EA5","yes",4
"./output/dir/train/short/50.out","EA6","no",2
"./output/dir/train/short/50.out","EA6","unjudged",2
"./output/dir/train/short/50.out","EA6","yes",1
